lat,lon,timestamp,datetime,temp,pressure,humidity,wind_speed,wind_deg,weather
53.470083,-117.794967,1721181600,2024-07-17 02:00:00,298.27,1012,33,1.42,348,broken clouds
53.8879,-117.118233,1721084400,2024-07-15 23:00:00,300.35,1008,32,3.56,33,overcast clouds
54.872117,-116.745533,1721509200,2024-07-20 21:00:00,304.33,1019,31,1.28,268,clear sky
54.456917,-118.641133,1721419200,2024-07-19 20:00:00,307.42,1011,24,4.04,101,few clouds
58.710883,-118.68745,1715281200,2024-05-09 19:00:00,290.52,1020,29,4.69,267,scattered clouds
58.71,-118.69395,1716912000,2024-05-28 16:00:00,288.42,1009,39,2.66,243,clear sky
57.406467,-110.810767,1719961200,2024-07-02 23:00:00,298.0,1003,42,4.64,279,scattered clouds
57.4475,-111.098467,1719957600,2024-07-02 22:00:00,302.31,1003,26,3.33,324,scattered clouds
57.367848,-110.976882,1719961200,2024-07-02 23:00:00,299.61,1003,31,3.3,300,broken clouds
57.304517,-110.754583,1719964800,2024-07-03 00:00:00,289.6,1005,77,3.1,285,light rain
55.498383,-114.6491,1720627200,2024-07-10 16:00:00,301.13,1005,51,1.87,103,clear sky
55.488567,-114.632767,1720627200,2024-07-10 16:00:00,301.13,1005,51,1.87,103,clear sky
55.8327,-115.825417,1720634400,2024-07-10 18:00:00,302.14,1004,46,2.21,136,broken clouds
55.575468,-119.030777,1720569600,2024-07-10 00:00:00,302.82,1006,36,2.13,125,clear sky
53.8943,-117.335883,1715212800,2024-05-09 00:00:00,288.47,1019,24,5.04,288,scattered clouds
52.012833,-115.128833,1718992800,2024-06-21 18:00:00,290.36,1015,49,3.04,91,clear sky
52.167617,-115.19625,1719093600,2024-06-22 22:00:00,294.04,1006,47,5.48,113,overcast clouds
57.678967,-114.095367,1713988800,2024-04-24 20:00:00,287.11,1005,34,4.74,135,overcast clouds
54.53582,-114.350052,1714244400,2024-04-27 19:00:00,282.16,1010,53,5.67,144,overcast clouds
51.916117,-115.0709,1718992800,2024-06-21 18:00:00,290.36,1015,49,3.04,91,clear sky
52.099633,-114.998883,1719003600,2024-06-21 21:00:00,291.73,1013,46,3.52,112,light rain
52.375133,-115.542367,1719014400,2024-06-22 00:00:00,285.13,1013,67,3.16,24,overcast clouds
52.35545,-115.492083,1719010800,2024-06-21 23:00:00,288.38,1012,51,2.09,41,overcast clouds
53.944033,-116.665,1719234000,2024-06-24 13:00:00,283.72,1007,60,4.5,277,broken clouds
58.1879,-116.428717,1719604800,2024-06-28 20:00:00,293.24,1017,33,3.35,76,clear sky
56.1122,-115.6714,1720634400,2024-07-10 18:00:00,304.6,1003,31,1.97,128,scattered clouds
55.927783,-110.723717,1714093200,2024-04-26 01:00:00,283.57,1001,42,5.13,289,few clouds
55.904917,-110.746067,1714100400,2024-04-26 03:00:00,279.15,1003,64,3.67,282,light rain
56.095917,-110.429733,1720029600,2024-07-03 18:00:00,295.28,1012,46,3.91,341,scattered clouds
57.4354,-115.051567,1720713600,2024-07-11 16:00:00,295.54,1006,37,5.07,239,scattered clouds
56.6479,-119.622783,1720908000,2024-07-13 22:00:00,290.77,1011,62,2.68,272,light rain
55.835317,-111.175167,1721160000,2024-07-16 20:00:00,302.12,1012,35,3.24,202,broken clouds
56.016667,-110.95,1721160000,2024-07-16 20:00:00,301.41,1012,36,2.53,181,broken clouds
55.198133,-111.2265,1721160000,2024-07-16 20:00:00,299.91,1013,38,3.04,186,overcast clouds
55.052317,-110.7853,1721167200,2024-07-16 22:00:00,301.51,1013,37,3.61,217,broken clouds
54.713233,-114.972267,1720634400,2024-07-10 18:00:00,303.37,1004,40,2.5,152,clear sky
54.187515,-116.061532,1714071600,2024-04-25 19:00:00,283.74,1004,30,5.59,300,overcast clouds
55.236117,-115.68485,1720620000,2024-07-10 14:00:00,296.08,1005,70,0.61,133,broken clouds
