#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Feb  5 11:38:49 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250101,-61.1,40.1,2
20250101,-60.9,40.1,2
20250101,-60.8,40.1,6
20250101,-60.7,40.1,3
20250101,-60.6,40.1,4
20250101,-60.5,40.1,1
20250101,-60.4,40.1,2
20250101,-60.3,40.1,2
20250101,-60.2,40.1,1
20250101,-60.1,40.1,1
20250101,-74,40.2,1
20250101,-70,40.2,1
20250101,-63,40.2,1
20250101,-62,40.2,1
20250101,-61,40.2,3
20250101,-60,40.2,1
20250101,-75.7,40.2,1
20250101,-75.6,40.2,6
20250101,-75.4,40.2,1
20250101,-75.3,40.2,3
20250101,-75.1,40.2,12
20250101,-74.9,40.2,1
20250101,-74.7,40.2,2
20250101,-74.4,40.2,2
20250101,-74.3,40.2,2
20250101,-74.2,40.2,1
20250101,-73.9,40.2,3
20250101,-73.8,40.2,27
20250101,-73.7,40.2,18
20250101,-73.6,40.2,6
20250101,-73.5,40.2,1
20250101,-73.4,40.2,2
20250101,-73.3,40.2,1
20250101,-72.6,40.2,1
20250101,-72.5,40.2,1
20250101,-72.2,40.2,2
20250101,-72.1,40.2,5
20250101,-71.9,40.2,4
20250101,-71.8,40.2,1
20250101,-61.9,39.8,5
20250101,-61.8,39.8,8
20250101,-61.7,39.8,4
20250101,-61.6,39.8,1
20250101,-61.5,39.8,2
20250101,-61.4,39.8,5
20250101,-61.3,39.8,2
20250101,-61.2,39.8,6
20250101,-61.1,39.8,5
20250101,-60.9,39.8,1
20250101,-60.8,39.8,3
20250101,-74,39.9,27
20250101,-72,39.9,1
20250101,-63,39.9,1
20250101,-61,39.9,3
20250101,-76.3,39.9,1
20250101,-75.7,39.9,5
20250101,-75.6,39.9,5
20250101,-75.4,39.9,2
20250101,-75.1,39.9,3
20250101,-74.3,39.9,2
20250101,-74.2,39.9,2
20250101,-74.1,39.9,15
20250101,-73.9,39.9,14
20250101,-73.8,39.9,6
20250101,-73.7,39.9,3
20250101,-73.5,39.9,2
20250101,-73.2,39.9,1
20250101,-72.8,39.9,1
20250101,-72.7,39.9,1
20250101,-72.2,39.9,1
20250101,-71.9,39.9,8
20250101,-70.6,39.9,1
20250101,-70.3,39.9,1
20250101,-69.9,39.9,1
20250101,-69.8,39.9,1
20250101,-64.2,39.9,1
20250101,-64.1,39.9,1
20250101,-63.3,39.9,1
20250101,-62.8,39.9,1
20250101,-62.5,39.9,2
20250101,-62.2,39.9,3
20250101,-62.1,39.9,1
20250101,-61.8,39.9,1
20250101,-61.7,39.9,10
20250101,-61.6,39.9,8
20250101,-61.5,39.9,4
20250101,-61.2,39.9,1
20250101,-61.1,39.9,3
20250101,-60.9,39.9,8
20250101,-60.8,39.9,4
20250101,-60.7,39.9,1
20250101,-60.6,39.9,1
20250101,-74,40.1,5
20250101,-62,40.1,2
20250101,-61,40.1,1
20250101,-75.7,40.1,2
20250101,-75.6,40.1,8
20250101,-75.5,40.1,1
20250101,-75.4,40.1,5
20250101,-75.3,40.1,1
20250101,-75.2,40.1,5
20250101,-75.1,40.1,6
20250101,-74.9,40.1,1
20250101,-73.4,39.7,3
20250101,-73.3,39.7,1
20250101,-73.2,39.7,1
20250101,-72.8,39.7,1
20250101,-72.2,39.7,1
20250101,-70.4,39.7,1
20250101,-70.1,39.7,1
20250101,-64.8,39.7,1
20250101,-64.7,39.7,1
20250101,-64.6,39.7,1
20250101,-64.3,39.7,2
20250101,-64.2,39.7,1
20250101,-63.8,39.7,1
20250101,-62.6,39.7,3
20250101,-62.5,39.7,3
20250101,-62.4,39.7,1
20250101,-62.2,39.7,4
20250101,-61.9,39.7,3
20250101,-61.8,39.7,1
20250101,-61.7,39.7,2
20250101,-61.6,39.7,1
20250101,-61.5,39.7,2
20250101,-61.2,39.7,1
20250101,-61.1,39.7,1
20250101,-76,39.8,4
20250101,-74,39.8,29
20250101,-70,39.8,2
20250101,-62,39.8,1
20250101,-61,39.8,6
20250101,-76.2,39.8,1
20250101,-75.8,39.8,1
20250101,-75.7,39.8,1
20250101,-75.6,39.8,4
20250101,-75.4,39.8,3
20250101,-74.8,39.8,1
20250101,-74.7,39.8,4
20250101,-74.6,39.8,1
20250101,-74.4,39.8,3
20250101,-74.3,39.8,3
20250101,-74.2,39.8,4
20250101,-74.1,39.8,37
20250101,-73.9,39.8,4
20250101,-73.8,39.8,3
20250101,-73.7,39.8,1
20250101,-73.6,39.8,1
20250101,-73.5,39.8,4
20250101,-73.4,39.8,1
20250101,-73.3,39.8,7
20250101,-72.2,39.8,2
20250101,-70.4,39.8,2
20250101,-70.2,39.8,1
20250101,-69.9,39.8,2
20250101,-69.8,39.8,1
20250101,-64.5,39.8,1
20250101,-64.3,39.8,1
20250101,-64.2,39.8,1
20250101,-63.4,39.8,1
20250101,-63.3,39.8,1
20250101,-62.8,39.8,1
20250101,-62.6,39.8,2
20250101,-62.5,39.8,4
20250101,-62.4,39.8,1
20250101,-62.3,39.8,1
